id	level	type	proto	context	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
1		T	A		1,2,3	1,2,3	1,2,6,5	1a,1b,2,6,1,7a	A,2,1a,1b	1,1’,A,2,3	1,2,4,6	1,2,6,3,4	1,2,1’,6,3	1,2,3,5,4	2,1,6,3,4
2		T	B		3,4,1,6	3,4	3,8,4,5,6	3b,4,3a,5a,7b,3	B,5a,A,3b,4,3a	3,4,B	3,4,1,3’,6	3,2,4,5,1,7,8	3,4,3’,1’,5,7,6,1	3,4,1,8,7	3,4,1
3		T	C		5,6,4	6,5,4,7,3	5,6,8,7,3,4	5a,6,5b,7b,3b,5,7a,4	C,6,B,5a,4,5b	B,5,6,C,7	6,5,1,8,7,2,3	5,5’,6,1,8,7	5,1’,6,5’,4,1,3	5,1,6,3,7	5,3,1,6
4		T	D		7,8,5,1	7,8,5	8,7,1,4	8,7b,5a,7a,7,4	D,C	8,7,5	7,6,5,8,1	7,8,3,5	6,4,3,7’,7,8,1	8,7,3,7’	8,3,7,1
5		T	H		5,6,4,1	5,4,6	5,6,4,7,1	5a,5b,6	C,A,B	5,6,4,3,7,1	5,6,4,1,2	5’,5,6,3,2	5,5’,6	5,6,4	5,6,2,3
7		T	X		3,4,2,1,5	3,4	3,4,5,1	3a,4,3b,5b	B,4,A	3,4,1,6,2	3,4,2,6,7,1,3’	3,4,2,5	3,4,2,3’,5’	3,4,2	3,4,2,6,5
9		I	G		k		q	h	ʁ	tʃ	ŋ	h	h	hj,h	
10		I	K		q	q	q	h	q	k	k,ŋ	k,tɕ	ȶ,k	kw,k	k
11		I	Kh		qh	qh	qh	h	qh	kh	kh	kh	k	kh	
12		I	Kʷ		f	kw	d,dh	hw	qw	kw	qw,kw	kw	kw	kw	k,kj
13		I	NG		ŋ	ɲ,ŋ	ɴq	ŋk	ɴq	ŋk	ŋ			dʑ,gw	h
14		I	NK		q	q	q,ɴq	h,ŋk	q	k,ŋk	k,ŋ	d,g	d,g	k,gw	k,g
15		I	NKh		qh	ɴqh	ɴqh	ŋk	ɴʔqh	ŋkh		g	g		g
16		I	NKʷ		q	ɴqw	nt					gw	g		
17		I	Nc		ʨ	ʨ,c	c	ʨ	ʨ	j,tʃ	j,ʨ	d,ʥ	ȡ	ʥj,hwj,hj	dz
18		I	Nd		t		t					d	d		
19		I	Ndz			ts						dzj	dz	dz	
20		I	Ndzj		ɕ	ʨ	tʂ	s	z	ʃ	ʨ	d	d		h
21		I	Nkj		tɕ	ŋk		k	k	ðj	ȵ		gj	hj	ts
22		I	Np		p	p	p	p	p	p	p		p,b	b	b,m
23		I	Nt		t	t	t	t	t	t,ð	t	d	d	d	d
24		I	Nts		s		ts	s		ts	ʨ	d	d	ts	t
25		I	Nɟ		ʨ	ʨ	c	ʨ	ʑ	tʃ	k	d	d	j	k
26		I	Smr				ml	mʐ			m	m	m	m̥	m
27		I	Sph		h,fh	s	s	s	s	x,v	m				
28		I	Sphj		fh	s	s	s	s	v̥	m̥				
29		I	Sphrj		fh	pʐ	h	w	h		pɦ	pj	pj	pl	p
31		I	b		p	p,t	p,t	p,ʂ	v,mp,p,w	p,v,tʃ	p,t	pw,p	f,p	pj,ph,p	pj,p
32		I	bh									b	b	b	
33		I	bj		p	p				p	p	pj		phj	pj
34		I	bl		l̥	p	pl					p	pl	pl	p
36		I	br		ȴ̥	pj	pl	pɭ	vl		pj				
37		I	brj				tʂ	pʐ	vj						
38		I	c		ʨ	ʨ,c	c	ʨ	ʨ	tʃw,tʃ	ʨ	tɕ,ʨ	ȡ,ȶ	ȡw	
39		I	ch		ʨh	ʨh	ch,ʨh	ʨ,ch,tɕ	ʨh,ʨ,kh,tɕh	tʃ,ʨh	ʨh,th	ɕw,ɕ	s,ȶ	ȶhw,ȶh	ts,f,h
40		I	d		t	t	t	t	ð,n,t	t,tw	t	t	t	t,th,tw	t
41		I	dhj									ʥ	gj	ȡ	dz
