# polynesian data						
n	anglais	français	tongien	samoan	raroton	hawai
#0	english	french	tongan	saomoan	rarotongan	hawaiian
1	forbidden	interdit	tapu	tapu	tapu	kapu
2	navel	nombril	pito	pute	pito	piko
3	blow	souffler	puhi	feula	puɁi	puhi
4	side	côté	tafaɁaki	tafa	taɁa	kaha
5	feces	crotte	taɁe	tae	tae	kae
6	man	homme	taŋata	taŋata	taŋata	kanaka
7	sea	mer	tahi	tai	tai	kai
8	strong	fort	malohi	malosi	kaɁa	Ɂaha
9	dodge	ṿiter	kalo	Ɂalo	karo	Ɂalo
10	root	racine	aka	aɁa	aka	aɁa
11	gall	fiel	Ɂahu	au	au	au
12	head	tête	Ɂulu	ulu	uru	poɁo
13	yam	igname	Ɂufi	ufi	uɁi	uhi
14	fire	feu	afi	afi	aɁi	ahi
15	four	quatre	faa	faa	Ɂaa	haa
16	octopus	poulpe	feke	feɁe	Ɂeke	heɁe
17	fish	poisson	ika	iɁa	ika	iɁa
18	nose	nez	ihu	isu	putaŋio	ihu
19	dew	rosée	hau	sau	Ɂau	hau
20	firemaking	faire du feu 	tafuafi	siɁa	Ɂika	hiɁa
21	tail	queue	hiku	siɁu	Ɂiku	hiɁu
22	up	en haut	hake	aɁe	ake	aɁe
23	enter	pṇṭrer	huu	ulu	uru	komo
24	branch	branche	maŋa	maŋa	maŋa	mana
25	constant	rṣistant	maɁu	mau	mau	mau
26	fermented food	ferment ̣	maa	mala	mara	mala
27	quieten	se calmer	naɁa	faɁaŋa	maninia	naa
28	sit	demeurer	nofo	nofo	noɁo	noho
29	wave	vague	ŋalu	ŋalu	ŋaru	nalu
30	mouth	bouche	ŋutu	ŋutu	ŋutu	nuku
31	canoe	bateau	vaka	vaɁa	vaka	waɁa
32	leg	jambe	vaɁe	vae	vae	wae
33	scrotum	testicules	laho	laso	raɁo	laho
34	fruit picking pole	gaule fruits	lohu	lou	rou	lou
35	hear	entendre	oŋo	loŋo	roŋo	lono
36	two	deux	ua	lua	rua	lua
