																	
	1a. H *i																
		1	2	3	4	5	6	7	H							Initial	H
	1. to grow (tr)	tɕen4	--	--	--	ʑeB	tei4	--	*i							4.3	*ɟiB
	2. noose/trap	--	--	tʂi4	--	--	--	--	*i							1.48.1	*brjiB
	3. tea	tɕen4	ci4	--	tɕi4	ʑiB	tʃi4	tɕi4	*i							5.18	*gjiB
	4. to bear fruit	tsen5	--	tsi5	pei5a	pzeC	--	--	*i							1.16	*pjiC
	5. late	--	--	li6	li6	--	--	lɦe6	*i							2.42	*liC
																	
	Chinese loanword in set 1a:	tsyek (MC)	炙	zhì  ‘to roast/broil’	>	H *ciC ‘to bake/toast’											
					>	H *ɟiC ‘to burn/be alight’											
																	
	1b. HM *i (1, 18) The numbers following each rime reconstruction represent the rime sets in Wang and Mao 1995 to which these words are assigned.																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM/M
	6. bedbug	--	--	--	-- 	--	pi1	pɪ5	*i	*i	*i	pi1	pi1	pi1	bɛi1	1.16	*pji
	7. stomach										*i	ɕi1	tθi1’	--	sɛi1	2.13	*siA
	8. seven										*i	ȵi6	ŋji6	ni6	ȵi6	5.24	*ŋjiC
																	
	Chinese loanwords in set 1b:	nej (MC)	泥	ní  ‘mud’	>	M *hniA											
		tejX (MC)	底	dǐ  ‘bottom/base’	>	M *ʔdiB ‘lower level’											
		dzi (MC)	慈	cí  ‘love/mother’	>	M *ndjiB ‘mother/aunt’											
		dojH (MC)	袋	dài  ‘bag’	>	M *diC											
																	
	1c. HM *i̯æn (81)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM
	9. 3sg (he/she/it)	nen2	--	nɯ4	ȵi4	nenB	nɐŋ4	nɯ4	*i	*i̯æn	*æn	nan2	nen2	nin2	--	2.9	*ni̯æn(X)
																	
	Chinese loanword in set 1c:	*[k]ˤon (OC)	>	kwan (MC)	冠	guān ‘crest/comb’	>	HM *ʔwi̯æn									
																	
	1d. HM *i̯əu (210)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM/M
	10. gall bladder	ɕen1	tɕi1	tʂi1	sei1a 	tseA	--	tɕe1	*i	*i̯əu	*i̯əu	--	--	--	tɛu1	3.16	*tsji̯əu
	11. 2pl (you)	maŋ2	me2	ne2	mein2	menA	--	--	*i	*i̯əu	*i̯əu	--	njou2	--	--	1.9	*mi̯əu
	12. fruit	tsen3	pi3	tsi3	pei3a 	pzeB	pi3	pje3	*i	*i̯əu	*i̯əu	pjeu3	pjɔu3	pjau3	bɛu3	1.16	*pji̯əuX
	13. ant										*i̯əu	ɕeu3	sɔu3	sau3	dziu3	4.5	*ʔɟhi̯əuB
	14. clf-fields										*i̯əu	lau5’	--	--	--	2.4	*ʔli̯əuC
																	
	Chinese loanwords in set 1d:	*m.b(r)u (OC)	>	bjuw (MC)	浮	fú  ‘to float’	>	M *mbi̯̯əuA									
		*[r]u (OC)	>	ljuw (MC)	流	liú  ‘to flow’	>	M *ri̯̯əuC									
																	
	1e. HM *i̯ɛk (148, 110)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM/M
	15. chaff/husk	--	--	--	--	--	--	m̥e5	*i	*i̯ɛk	*i̯ɛk	bwa7	va7’	bja7	bjɛ7	1.5	*mphi̯ɛk
	16. black										*i̯ɛk	kje7	kja7	kja7	kjɛ7	6.46	*qri̯ɛkD
																	
	Chinese loanwords in set 1e:	tsyak (MC)	灼	zhuó  ‘to burn’	>	M *dji̯ɛkD											
		tsyek (MC)	隻	zhī  ‘clf-birds’	>	M *tsi̯ɛkD											
		syik (MC)	識	shí  ‘to know/recognize’	>	M *tsi̯ɛkD											
		tsyik (MC)	織	zhī  ‘to weave’	>	M *tsi̯ɛkD											
		sik (MC)	媳	sī  ‘daughter/girl’	>	M *ɕi̯ɛkD											
		bak (MC)	薄	bó  ‘thin’	>	M *bi̯ɛkD											
																	
	Discussion																
	In this and in subsequent correspondences, the initial element of the Hmong-Mien rime is continued into Hmongic.  This is in keeping with the general tendency for Hmongic to retain the beginning of the Hmong-Mien syllable and Mienic to retain the end of the Hmong-Mien syllable.  For many of the words in rime 1, one could have chosen to reconstruct the medial high front element as -j- , part of the onset, instead of an on-glide to the vowel, part of the rime.  Given the fact that words in this set merged to Hmongic *-i whereas other words with medial -j- did not, these words are reconstructed with the high front element already associated more closely with the vowel.																
																	
	Another rime which fits the pattern above is Hmong-Mien *-i̯ɛp, represented only by Mienic *ri̯ɛpD (2.57/1) ‘to erect’ from Chinese 立 ‘to stand’ (OC *(kə.)rəp > MC lip > Man. lì).																
																	
	Notes																
	2. Xianjin Hmong (Wang and Mao 3) has been substituted for White Hmong (3).  Other forms appear in Wang 1994.																
	4. ‘To bear fruit’ is a C-tone derivative of ‘fruit’ (rime 1d); see chapter 4.																
	5. Wenjie Pa-Hng (Wang and Mao 12) has been substituted for Baiyun Pa-Hng (7).																
	8. This is from Tibeto-Burman *s-nis (Benedict 1987a:13).  Hmong-Mien *djuŋH (2.18/28) may be from the same source, but the correspondence is difficult.  See chapter 5, section 2.																
	9. The 3sg pronoun is irregular in rime and in tone (tone 4 in Hmongic, tone 2 in Mienic).  The placement of his word in rime 1 is based on the Hmongic reflexes; given this analysis, the nasal codas that appear in Hmongic must be taken as secondary.																
	11. The Hmongic forms are from Wang 1994 and the Mun form (9) is from Shintani and Yang 1990.																
	12. Compare derivative ‘to bear fruit’ in set 1a above.																
	14. Also Jiangdi Mien /ljou5/ and Xiangnan Mien /ljəu5/.  Compare Gaopo (Hmongic) /loŋ5/ ‘field’ and Kuki-Naga (Tibeto-Burman) *lou ‘field’.																
	15. This word is probably related to Hmongic *S-phjæC ‘chaff/husk’ (1.17/5). The -w- in Luoxiang Mien (8) is secondary: -j- dropped, then -w- developed between a labial and /a/.																
	16. This is no doubt the same as Hmongic *qrɛŋA ‘black’ (6.46/22).																
																	
	2																
	2a. H *ɨ																
		1	2	3	4	5	6	7	H							Initial	H
	1. clean	sha1	ntsha1	--	ntsei1b	nʔtsheA 	θei1	--	*ɨ							3.5	*ntshɨA
	2. that/the former	i3	a3	i5	i3a	eB	--	--	*ɨ							7.1	*ʔɨB
	3. what	ɕi3	--	tʂi5	si7b	tsiB	--	--	*ɨ							3.16	*tsjɨB
	4. whorl at top of head	ʑi6	--	ji4	ʑi4	weB	--	--	*ɨ							4.12	*jɨB
	5. hoop	tha5	--	thi5	tei5b	theC	--	--	*ɨ							2.2	*thɨC
	6. to squeeze/pinch	la5	lɑ5	li5	lei5a	--	l̥i5	la5	*ɨ							2.4	*ʔlɨC
	7. wildcat	ȴ̥aŋ7	--	pli7	pɭei5a	pleC	--	--	*ɨ							1.46	*prɨD
																	
	Chinese loanword in set 2a:	sje (MC) ‘mutually’	廝	sī ‘with each other’	>	HM *sjɨA-D reciprocal											
																	
	2b. HM *ɨ (35)																
		1	2	3	4	5	6	7	 H	HM	M	8	9	10	11	Initial  	HM
	8. one	i1	ɑ3	i1	ei1a	--	i3	--	*ɨ	*ɨ	*ɨ	--	--	i1	a1	7.1	*ʔɨ
																	
	Chinese loanword in set 2b:	liX (MC)	里	lǐ  ‘half kilometer’	>	HM *ljɨX											
																	
	2c. HM *eu (35)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM
	9. to fry	ka1	ca1	ki1	tɕi1a	tɕeA	--	--	*ɨ	*eu	*eu	--	[tjiː1]	khla1	--	5.31	*kleu
	10. butterfly	--	--	--	mpei5a	mʔpleC	--	--	*ɨ	*eu	*eu	bjeu5’	blɔu5’ 	bja4	--	1.34	*mpleuH
																	
	2d. HM *i̯eu (2, 35)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM/M
	11. light(weight)	fha1	ɕa1	ʂi1	sei1b	seA	v̥uai1’	fɤ1	*ɨ	*i̯eu	*i̯eu	ɕeu1	sɔu1’	hjau1	--	2.28	*-sji̯eu
	12. scissors										*i̯eu	jeu3	ȡiːu3	gjau3	gɛu3	5.34.1	*ʔglji̯euB
																	
	2e. HM *ik (15)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	HM
	13. to flip with finger	--	--	nti3	ntei5a	--	ntai5	na5	*ɨ	*ik	*it	dit7	--	--	--	2.4	*ntik
																	
	2f. HM *ek (17, 34)																
		1	2	3	4	5	6	7	H	HM	M	8	9	10	11	Initial	M
	14. to dry (clothes)									*ek	*ek	--	si7	ʨi7	tsaŋ1	3.1	*tsekD
																	
	Chinese loanwords in set 2f:	phek (MC)	劈	pī  ‘to split/chop’	>	HM *phek											
