												
												
	   Chapter 2											
	Proto Hmong-Mien   											
												
	1. Labials											
	1.1  *p- 											
												
	PHM *p-	1	2	3	4	5	6	7	8	9	10	11
	1. to know *pei (12/17)	pu1	--	pau1	pɔ1a	--	pe1	pɪ1	pei1	pei1	pəi1	bɛi1
	2. molar tooth *pæ (5)	--	pa2	pua1	--	--	--	--	--	--	--	ba1
	3. full *pu̯ɛŋX (22)	pɛ3	pe3	pu3	poŋ3a	paŋB	paŋ3	pɔ̃3	pwəŋ3	pɔŋ3	pɔŋ3	baŋ3
	4. to shoot *pənX (21)	paŋ3	pɑŋ3	pɔ3	poŋ3a	poŋB	poŋ3	pɔ̃3	pwan3	fan3	--	bun3
	5. to sleep/lie down *pu̯eiH (8)	pi5	pə5	pɯ5	pu5a	puC	pau5	pɛ5	pwei5’	fei5	--	bui5
	6. 1pl (we/us) *N-pɔu (3)	pi1	pɯ1	pe1	pæ1a	peiA	pa1	pɯ5	--	pu1	--	bu1
	7. husband *N-poX (7)	--	po3	--	--	--	--	--	--	--	bu3	--
	8. soybean *N-peiX (12/17)	pu3	--	pau3	--	--	--	--	--	bei3	bi3	mɛi3
	9. 百 hundred *pæk (5)	pa5	pa5	pua5	pa5a	piC	pa5	pe5	pɛ7	pe7	pɛ7	ba7
												
	PH *p- 	1	2	3	4	5	6	7				
	10. to fall *pʉŋA (30)	--	--	pɔŋ1	paŋ1a	poŋA	--	--				
	11. to feed *pɛŋA (22)	pɛ1	--	pu1	--	--	--	--				
	12. thigh *pæA (5)	pa1	pa1	pua1	pa1a	--	--	pe1				
	13. to open (door) *powD (13)	pu7	pu7	--	--	poD	--	pɔ7				
	14. 風 air *poŋC (28)	poŋ5	--	pa5	paŋ5a	poŋC	--	--				
												
	PM *p-								8	9	10	11
	15. to burn *pɔuB (3)								pu3	pu3	pau3	bu3
	16. 鞭 whip *pinA (18)								biŋ1	pin1	pin1	--
	17. 斧 axe *pouB (13)								pou3	pɔu3	bəu3	pu3
	18. (Cant. /pɛːŋ5/) to hide oneself *piŋC (18)								piːŋ5	--	pjɛ5	bɔŋ5
	19. 放 to let go *puŋC (21)								puŋ5’	puŋ5	pə5	bɔŋ5
												
	Notes											
	1. Possibly from Chinese 別 ‘to separate, distinguish’ (OC *N-pret > MC bjet > Man. bié).											
	2. In White Hmong, ‘jaw, chin’.											
	3. Compare Malayo-Polynesian *penuq ‘full (as a container)’ (ACD).											
	4. Compare Malayo-Polynesian *panaq ‘to shoot’, Mon-Khmer *paɲʔ ‘to shoot’ (Shorto #905). In White Hmong, ‘to throw’.											
	5. The tone subcategory in Luoxiang Mien (8) indicates possibility of aspirated initial.											
	6. This word is used as a plural suffix in Mien, suggesting an original meaning of ‘group’. In Hainan Mun, it is a 1pl exclusive pronoun. The voiced initials in Mienic suggest a pre-initial voicing element.											
	7. Compare Chinese 父 ‘father’ (OC *[b](r)aʔ > MC bjuX > Man. fù). See also Hmong-Mien ‘father/male’ *pjaX (1.16/4).											
	10. Possibly from Chinese 崩 ‘to fall, collapse (of mountain)’ (OC *Cə.pˤəŋ > MC pong > Man. bēng).											
	11. In Yanghao (1), ‘to allow’; in White Hmong, ‘to give’. Yanghao (1), Xuyong /po1/ ‘to feed’, Shimen /pu1/ ‘to feed’ from Office of Miao-Yao Research Lexicon (1987).											
	18. Jiangdi Mien (Wang and Mao 15) has been substituted for Luoxiang Mien (8).											
												
	1.2  *ph-											
												
	PHM *ph- 	1	2	3	4	5	6	7	8	9	10	11
	1. 片 clf-quilts *phəan (21)	phaŋ1	--	phɔ1	--	phoŋA	--	phɯ5	phaːn1	--	phəu1	--
	2. 劈 to split/chop *phek (2)	pha1	pha1	tshi1	--	phoA	--	--	phi7	--	--	--
	3. 破 to cut open *phajH (15)	pha5	pha5	phua5	pa5b	phaC	pha5	pha5	phaːi5	paːi5’	pha5	--
												
	PH *ph- 	1	2	3	4	5	6	7				
