1																			
2																			
3			   Chapter 2																
4			Proto Hmong-Mien   																
5																			
6		1	Labials																
7			1.1	*-p- 															
8																			
9	P		PHM	*-p-		1	2	3	4	5	6	7	8	9	10	11			
10	D	1	to know	*-pei	(12/17)		pu1	--	pau1	pɔ1a	--	pe1	pɪ1	pei1	pei1	pəi1	bɛi1		
11	D	2	molar tooth	*-pæ	(5)	--	pa2	pua1	--	--	--	--	--	--	--	ba1			
12	D	3	full	*-pu̯ɛŋX	(22)	pɛ3	pe3	pu3	poŋ3a	paŋB	paŋ3	pɔ̃3	pwəŋ3	pɔŋ3	pɔŋ3	baŋ3			
13	D	4	to shoot	*-pənX	(21)	paŋ3	pɑŋ3	pɔ3	poŋ3a	poŋB	poŋ3	pɔ̃3	pwan3	fan3	--	bun3			
14	D	5	to sleep/lie down	*-pu̯eiH	(8)	pi5	pə5	pɯ5	pu5a	puC	pau5	pɛ5	pwei5’	fei5	--	bui5			
15	D	6	1pl (we/us)	*-N-pɔu	(3)	pi1	pɯ1	pe1	pæ1a	peiA	pa1	pɯ5	--	pu1	--	bu1			
16	D	7	husband	*-N-poX	(7)	--	po3	--	--	--	--	--	--	--	bu3	--			
17	D	8	soybean	*-N-peiX	(12/17)		pu3	--	pau3	--	--	--	--	--	bei3	bi3	mɛi3		
18	D	9	百 hundred	*-pæk	(5)	pa5	pa5	pua5	pa5a	piC	pa5	pe5	pɛ7	pe7	pɛ7	ba7			
19																			
20	P		PH	*-p- 		1	2	3	4	5	6	7							
21	D	10	to fall	*-pʉŋA	(30)	--	--	pɔŋ1	paŋ1a	poŋA	--	--							
22	D	11	to feed	*-pɛŋA	(22)	pɛ1	--	pu1	--	--	--	--							
23	D	12	thigh	*-pæA	(5)	pa1	pa1	pua1	pa1a	--	--	pe1							
24	D	13	to open (door)	*-powD	(13)	pu7	pu7	--	--	poD	--	pɔ7							
25	D	14	風 air	*-poŋC	(28)	poŋ5	--	pa5	paŋ5a	poŋC	--	--							
26																			
27			PM	*-p-									8	9	10	11			
28	D	15	to burn	*-pɔuB	(3)								pu3	pu3	pau3	bu3			
29	D	16	鞭 whip	*-pinA	(18)								biŋ1	pin1	pin1	--			
30	D	17	斧 axe	*-pouB	(13)								pou3	pɔu3	bəu3	pu3			
31	D	18	(Cant. /pɛːŋ5/) to hide oneself 	*-piŋC	(18)								piːŋ5	--	pjɛ5	bɔŋ5			
32	D	19	放 to let go	*-puŋC	(21)								puŋ5’	puŋ5	pə5	bɔŋ5			
33																			
34			Notes																
35		1	Possibly from Chinese 別 ‘to separate, distinguish’ (OC *N-pret > MC bjet > Man. bié).																
36		2	In White Hmong, ‘jaw, chin’.																
37		3	Compare Malayo-Polynesian *penuq ‘full (as a container)’ (ACD).																
38		4	Compare Malayo-Polynesian *panaq ‘to shoot’, Mon-Khmer *paɲʔ ‘to shoot’ (Shorto #905). In White Hmong, ‘to throw’.																
39		5	The tone subcategory in Luoxiang Mien (8) indicates possibility of aspirated initial.																
40		6	This word is used as a plural suffix in Mien, suggesting an original meaning of ‘group’. In Hainan Mun, it is a 1pl exclusive pronoun. The voiced initials in Mienic suggest a pre-initial voicing element.																
41		7	Compare Chinese 父 ‘father’ (OC *[b](r)aʔ > MC bjuX > Man. fù). See also Hmong-Mien ‘father/male’ *pjaX (1.16/4).																
42		10	Possibly from Chinese 崩 ‘to fall, collapse (of mountain)’ (OC *Cə.pˤəŋ > MC pong > Man. bēng).																
43		11	In Yanghao (1), ‘to allow’; in White Hmong, ‘to give’. Yanghao (1), Xuyong /po1/ ‘to feed’, Shimen /pu1/ ‘to feed’ from Office of Miao-Yao Research Lexicon (1987).																
44		18	Jiangdi Mien (Wang and Mao 15) has been substituted for Luoxiang Mien (8).																
45																			
46			1.2	*-ph-															
47																			
48	P		PHM	*-ph- 		1	2	3	4	5	6	7	8	9	10	11			
49	D	1	片 clf-quilts	*-phəan	(21)	phaŋ1	--	phɔ1	--	phoŋA	--	phɯ5	phaːn1	--	phəu1	--			
50	D	2	劈 to split/chop	*-phek	(2)	pha1	pha1	tshi1	--	phoA	--	--	phi7	--	--	--			
51	D	3	破 to cut open	*-phajH	(15)	pha5	pha5	phua5	pa5b	phaC	pha5	pha5	phaːi5	paːi5’	pha5	--			
52																			
53	P		PH	*-ph- 		1	2	3	4	5	6	7							
54	D	4	to push earth aside	*-phʉA	(8)	phɛ1	--	phua1	pou1b	--	phau1	phɪ1							
55	D	5	thunder	*-S-phoA	(7)	ho1	so1	sɔ1	so1b	suA	xu1	(mo1)							
56	D	6	thread	*-S-phoB	(7)	fhə3	so3	sɔ3	so3b	suB	--	(mo3)							
57	D	7	to twist/rub	*-S-phu̯aA	(15)	fha1	-- 	sua1	sa1b	saA	va1’	--							
58																			
59			PM	*-ph- 									8	9	10	11			
60	D	8	奉 to carry in 2 hands	*-phu̯ɛŋB	(22)								phwəŋ3	pɔŋ3	phɔŋ3	--			
61	D	9	拂 to sweep	*-phu̯ətD	(7)								phut7	--	--	--			
62																			
63			Discussion																
64			‘Thunder’ here is probably related to Hmong-Mien *mpuə ‘thunder’ (1.4/16), and the Pa-Hng form for ‘thread’ suggests a similar pattern. A *ph- is reconstructed for ‘thunder’, ‘thread’ and ‘to twist/rub’ on the basis of ph- onsets in other locations: Fengxiang (West Hmongic), Qibainong Bunu, and Yaoli Bunu (9, 10, 11 in Wang and Mao 1995). The Pa-Hng forms in parentheses above pattern with Mienic, and suggest the reconstruction of an initial nasal element, but since the nasal element shows no trace in the other languages above, it may be that the nasal was “detachable”—that is, it was more likely to have been morphological than phonological. Finally, the reconstruction of an aspirated initial for these three words is tentative: Zongdi (4) voiceless “b” tones indicate an original [spread glottis] initial, but an old [spread glottis] initial may have been either an aspirated stop, a voiceless fricative, or a voiceless sonorant. A hypothetical S- prefix might have had the same effect on Zondgi tones as an aspirated initial, thus an original *S-p- for these three words (with secondary aspiration in Fengxiang, Qibainong Bunu, and Yaoli Bunu) is possible. See also ‘chaff/husk’ for a similar split (Hmongic *S-phjæC (1.17/5) and Mienic/Pa-Hng *mphi̯ɛk (1.5/1).																
65																			
66			Notes																
67		1	Jiangdi Mien (Wang and Mao 15) has been substituted for Luoxiang Mien (8). In White Hmong, this word serves as a classifier for sheets of skin or leather.																
68		2	Jiangdi Mien (Wang and Mao 15) has been substituted for Luoxiang Mien (8). This word is pan-Asian: compare Proto Tai *phreːk ‘split open’; Chinese 劈 ‘split, chop, cleave’ (OC *(m-)pʰˤek > MC phek > Man. pī). These forms are probably from Chinese because of the non-correspondence in tones—they suggest an earlier borrowing in Mienic (from a form in * -k), and a later borrowing in Hmongic (after D > A).																
69																			
70			1.3	*-b-															
71																			
72	P		PHM	*-b-		1	2	3	4	5	6	7	8	9	10	11			
73	D	1	flower	*-bi̯aŋ	(24)	paŋ2	pei2	pa2	pua2	venA	pen2	pɛ2	pwaŋ2	faŋ2	pjaŋ2	pjaŋ2			
74	D	2	to see	*-bu̯ət	(7)	poŋ8	--	pɔ8	po8	mpuD	pu8	pa8	pwat8	fat8	phi8	--			
75	D	3	伏 to hatch/embrace	*-buəH	(16)	pə6	--	pua6	pəa6	vaC	pu6	po6	pu6	pu6	pu6	pu6			
76																			
77	P		PH	*-b-		1	2	3	4	5	6	7							
78	D	4	female/woman	*-boA	(7)	--	--	pɔ2	--	vuA	--	--							
79	D	5	to repay	*-bu̯eiA	(12/17)		pə2	pi2	pau2	pɔ2	vuA	--	--						
80	D	6	face	*-bowB	(13)	--	--	--	pɯ4	--	--	--							
81	D	7	mountain	*-bæwB	(3)	pi4	--	pe8	pe4	veiB	--	--							
82	D	8	bracelet	*-bɔC	(6)	--	pɔ6	pau6	po6	vuC	--	po6							
83	D	9	pus	*-bu̯eiC	(12/17)		pu6	pɔ6	pau6	po6	vuB	pei6	pɪ6						
84	D	10	shoulder	*-bʉC	(8)	--	pə6	pɯ6	--	vuC	--	--							
85	D	11	腐 bad/spoiled	*-bu̯aB	(15)	pa4	pɑ4	pua4	pəa4	vuB	--	--							
86																			
87			PM	*-b-									8	9	10	11			
88	D	12	to hold w/2 hands	*-bouA	(13)								pou2	pɔu2	--	--			
89	D	13	平 level	*-beŋA	(29)								pɛŋ2	peːŋ2	pɛ2	pɛŋ2			
90	D	14	耙 to rake	*-baA	(4)								pa2	pa2	--	pa2			
91	D	15	薄 thin	*-bi̯ɛkD	(1)								pwa8	fa6	--	pjɛ8			
92	D	16	白 white	*-bækD	(5)								pɛ8	pe6	phɛ8	pa8			
93																			
94			Discussion																
95			Proto Hmong-Mien ‘hand/arm’ and Proto Hmongic ‘thorn’ are best reconstructed with this initial, although the correspondence is obscured by the process of “prefix pre-emption” (Matisoff 1997). See discussion in chapter 2, section 2.1.2 and chapter 4, section 4.2.3.																
96																			
97	P					1	2	3	4	5	6	7	8	9	10	11			
98	D		hand/arm	*-bɔuX	(3)	pi4	tɯ4	te4	ʂe4	weiB	tʃa4	tɛ-pɯ4	pu4	pu4	pau4	pu4			
99	D		thorn	*-boB	(7)	pə4	to4	pɔ4	pɯ4	vuB	--	--							
100																			
101			In addition to the forms above, Hmongic Ho Ne (She) forms belonging to these sets have corresponding rimes and tones, but velar initials (‘hand’ /khwa4/ and ‘thorn’ /khɤ4/).																
102																			
103			Notes																
104		1	The -w- in Luoxiang Mien (8) is secondary: -j- dropped, then -w- developed between a labial and /a/. Compare Austronesian *buŋa ‘blossom of fructifying tree or bush’ (ACD), Written Burmese /pwɑŋ1/ ‘blossom’, and Laqua (Tai-Kadai) /puŋ/ ‘flower’ (Benedict 1975:295).																
105		3	Compare the semantics of Chinese 抱 bào ‘hold in arms, embrace; hatch, brood’. The meaning ‘to hatch’ is attested across the family; the additional meaning ‘to embrace’ is attested only in Hmongic.																
106		4	Xuyong /po2/, Shimen /po2/ (Office of Miao-Yao Research Lexicon 1987). Perhaps borrowed from Chinese 婦 ‘wife, married woman’ (MC bjuwX > Man. fù), although the tones do not correspond.																
107		6	Also Shimen /bey4I/, Qingyan /pau4/, Gaopo /pə4/, Fengxiang /pɔ4/ (Wang and Mao 1995). Xuyong /bleu4/ with medial -l- may also be cognate (in Xuyong /bleu4 plho7/, Office of Miao-Yao Research Lexicon [1987]; for the second element, compare White Hmong /phlu5/‘cheek’).																
108		7	White Hmong ‘up there on the slope’. The tone in White Hmong is the result of a recent morphological class formation by tone-shift (geographical feature > locative) (Ratliff 1992a:104-112).																
109		8	Green Mong has been substituted for White Hmong (3).																
110		12	Jiangdi Mien (Wang and Mao 15) has been substituted for Luoxiang Mien (8).																
111		15	The -w- in Luoxiang Mien (8) is secondary: see note 1 above.																
112																			
113			1.4	*-mp-															
114																			
115	P		PHM	*-mp-		1	2	3	4	5	6	7	8	9	10	11			
116	D	1	thunder	*-mpuə	(16)	--	--	--	--	--	--	mo1	bu1	bu5	--	bjau1			
117	D	2	to dream	*-mpeiH	(12/17)		pu5	mpei5	mpau5	mpɔ5a	mʔpuC	mpe5	mi5	bei5	bei5	bəi5	bɛi5		
118	D	3	name	*-mpɔuH	(3)	pi5	mpu5	mpe5	mpæ5a	mʔpeiC	mpa5	mo5	bu5’	bu5	bau5	bu5			
119	D	4	沸 to boil (intr)	*-mpu̯eiH	(12/17)		--	--	mpau5	mpɔ5a	mʔpuC	mpei5	mɪ5	bwei5’	vei5	--	bui5		
120																			
121	P		PH	*-mp-		1	2	3	4	5	6	7							
122	D	5	to hold in mouth	*-mpæB	(5)	--	--	mpua3	mpa3a	mʔpziB	--	--							
123	D	6	pig	*-mpæC	(5)	pa5	mpa5	mpua5	mpa5a	mʔpeiC	mpei5	me5							
124	D	7	to throw on (clothes)	*-mpu̯aC	(15)	pa5	--	mpua5	mpa5a	--	--	ma5							
125																			
126			PM	*-ʔb- (< *mp- )									8	9	10	11			
127	D	8	loud/sound	*-ʔbujA	(9)								bui1	buːi1’	bəi1	bai1			
128	D	9	bat (animal)	*-ʔbujA	(9)								bui1	buːi1’	bəi1	bai1			
129	D	10	monkey	*-ʔbiŋA	(18)								biŋ1	biːŋ1	--	bjaŋ1			
130	D	11	grey	*-ʔbɔuB	(3)								bu2	bu3	bau3	--			
131	D	12	rock	*-ʔbeŋC	(29)								bɛŋ5'	--	bɛ5	bɛŋ5			
132	D	13	報 to tell	*-ʔboC	(7)								bu5'	bu5	bu5	bɔu3			
133																			
134			Discussion																
135			In this and all subsequent prenasalized onset sets, following L-Thongkum (1993),																
