,kg,lb,bt,,kg,lb,bt,,khaling1,meaning,limbu1,bantawa
,b,p,p,,ent,,ent,,bi,give,pi,pɨma (pɨ)
,b,,p,,ont,ont,,,buk,give birth,,"pukma, pua"
,bh,p,p,,ent,,int,,bhor,grow,por,ponma (poya
,bh,p,p,,kg,lb,bt,,bher,fly,pɛːr,"penma, pia"
emprunt ?,bh,,bh,,ek,akt,,,bhokt,patch,,bʰokma (bʰoktu)
,bhl,p,p,,e,,ɨs,,bhlitt,boil,puːtt,putma (puttu)
,bhl,p,,,oŋ,akt,aks,,blɛtt,"tell, explain",paːt,
,bhl,,p,,uŋ,uŋ,uŋ,,bhlept,flatten tothe ground,,pemma (pemtu)
,bhr,,p,,ik,i:kt,,,bhrot,shout,,"patma, para / butma (buttu) « to call »"
,d,t,,,om,,ams,,daŋt,"coagulate, congeal (liquid)",takt,
,d,,t,,ɛm,amt,,,dom,collect,,tamma (tamsu)
,d,t,t,,ek,ɛk,ekt,,dok,be enough,tɛkt ,takma (takta)
,d,t,t,,ol,,ol,,dum,meet,tum,tupma (tuu)
,d,t,t,,or,or,on ?,,dumt,ripen,tums,"tumma, tuma"
,dh,t,,,e,,is,,dhA,dig,tɔ,
,dh,,t,,a,ɔ,,,dhum,"fit together, be in good terms",,tumma (tumsu)
,dh,t,,,ikt,,ɨkt,,dhoŋ,be friends; have an illicit relationship,tɔŋ,
,dh,t,,,i,i:nt,int,,dhont,straighten,tont,
?,dh,t,dh,,um,,imt,,dhuk,bump into,tokt,"dʰuŋma, dʰuŋsa"
,dz,,c,,umt,,upt,,ʣikt,"paint, dye",,cɨkma (cɨktu)
,dz,c,c,,a,a,a,,dzA,eat,ca,cama
,dzh,s,s,,utt,ott,ɨtt,,dzhur,be sour,suːtt,"sunma, sunta"
,dzh,,ch,,ik,eks,,,ʣhoŋ,plough,,cʰoma (cʰou)
,dzh,,ch,,u,os,,,ʣhuk,"jump down, escape",,cʰukma (cʰukta)
