N	Gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
267.563	A little	ñÖúÖ+cik		££tjyq	££ziv	ÁÁtjhy	°°ji	££tsyq		ÁtûiÖ
124.346	Able			££tjhÙo	££kyul	££khÙu, °°tjh¿	ÁÁtjhe	ÁÁkhe
233.494	Afraid		(¼khrok, ¼krok)	££guq	££gguv	££guq	°°tjhi	°°khi
255.527	Alive	ñdat		ÁÁdäq	££ddeivq	££däq	ÁÁtjä	ÁÁtjäq	£Áti	ªÖŒ ÷-ÁteÖ
485.	Animal			ÁÁdje	££zzeiq		ÁÁtji	ÁÁtji
208.438	Area			ÁÁxha³	££haoq	ÁÁxh¿	ÁÁkh¿
296.571	Arrive			££kúq	££hev	££xuq	££khú	££khú		£khŒÖ
61.44	Arrow	ªmla	ªhmra	ÁÁmja	££miaq	ÁÁma				ªmjo
191.233	Ashes	(Ála)		°°lä	££leil	°°lä	°°sjhi	°°li		ªkho ¤lo
72.36	Ask	ÁÖ+na		°°na	££nal	°°na	°°na	°°na		¤no
82.80	Ask for			°°sjha	££sal	°°sha		°°sha
32.186	Bamboo strip	ªs+ne	ªhni	ÁÁne	££niq	ÁÁni	ÁÁny	ñny
187.217	Base			ÁÁphä	££peiq	ÁÁphä	ÁÁphi	ÁÁphi
206.417	Be a road			°°da³	££ddaol	°°d¿	°°thu	°°thu
131.265	Be born	£baw	Ápaw	££b¿	££bbo	££bo
151.324	Be the case	Á³wa		°°³ú	££ngeel	°°³ú	°°³y	°°³ä	°°³·	°³|ú
292.565	Bean	îs+nÙok		££nyq	££neev	ÁÁnyq			°°a ££nú
172.390	Bear	Ák+d+wam	ÁwaÁkwam	ÁÁxha-°°hm	££haoqaol	°°xha-¿	°°sjhi	°°ji		ªÖŒ ¤Öe
274.577	Become	ñplek	¼phrac, ¼phlac	ÁÁpjúq	££bievq	ÁÁpúq	ÁÁpjh¿	ÁÁpjh¿	ñph¿	ÁphjŒÖ
55.42	Bee	ªbya	ªpya	ÁÁbja	££bbiaq	ÁÁdja	ÁÁpjo	ÁÁp¿	£Áp¿	ªpho
21.319	Big	ªÖ+ri,ªk+ri	ªkri	ÁÁhy	££heeq	ÁÁxhy	ÁÁxhy	ÁÁxhy	£Áx·	Áh·
27.296	Bile	ÁÖ+kre	Ákhre	°°khy	££keel	°°khy	°°tjhi	°°khi		¤khi
276.544	Bite	ñkuk	(¼kuik)	ÁÁk¿q	££govq	ÁÁkoq, ££koq	(ÁÁth¿)	(ÁÁth¿)	£Ákho	(ÁtheÖ)
73.72	Bitter	ªka	ªkha	ÁÁxha	££haq	ÁÁxha	ÁÁkho	ÁÁkh¿	£Áx¿	ÁkhŒ
311.460	Black	înak	¼nak	££naq	££nav	°°na	££na	££na		£na³Ö
146.136	Blood	ªswe	ªswe	ÁÁsjhi	££siivq	ÁÁsjhy	ÁÁsjhy	ÁÁsjhy		ªsi
261.538	Blossom	îk+wat	¼wat	££jäq	££yiev	££jäq,££jä	££jä	££zä?
643.291	Boat	Álo³,ÁÖli	Áhle, Álo³	ÁÁl¿	££loq	ÁÁhlu,ÁÁlu	°°lu		ªÁlÒu	ªlo³
305.453	Boil	ñÖ+gyak	¼khyak, ¼kyak	ÁÁtjaq	££javq	ÁÁtjaq	ÁÁtsha	££tsha	£ÁtÆha	Átûa
130.370	Bone	ªÆú-ªro	ªÖa ªÖrui	ÁÁsjha-°°jÙo	££saq=yyuq	££sjh °°a-°°jÙo	ÁÁa °°ïi	ÁÁ¿ °°ïi		ªÖŒ ªÖ·
297.570	Box			££kúq	££ggev	°°khy	££©ú			(¤he)
257.529	Braid			ÁÁpjäq	££bievq	ÁÁpäq	ÁÁpjhä
445.	Brain	C-ñnok	Áhnok	ÁÁnmq		ÁÁn¿q				¢noÖ ¢wo
646.481	Branch			ÁÁlaq	££lavq	ÁÁlaq				ªla
29.305	Brass	ªgre	ªkre	ÁÁgy	££ggeeq	ÁÁgy			ªÁk·	ªki
259.534	Break			ÁÁxäq	££heivq	££xäq		ÁÁkh¿		ÁkhúÖ
316.475	Breath	ñsak	¼sak	ÁÁsaq	££savq	ÁÁsha	ÁÁsha	ÁÁsaq	£ªsa	ªÖŒ ªsa
166.380	Bridge	Ádzam		°°dzm	££zzaol	°°dz¿	°°tji	°°tji
80.188	Buffalo	ª³ya	(ªnwa)	ÁÁnjo	££niuq	ÁÁnjo	ÁÁnu	ÁÁny		ªmŒ ¢na³Ö
288.505	Build		¼chok	££tsoq	££zuv	££tsuq	££tjho	££tjhú,££tjhy
219.247	Buttocks	Áda³		ÁÁda³	££ddaoq	ÁÁd¿	ÁÁto	ÁÁta		ªto³
45.337	Buy	Áway	Áway	°°zú	££hhel	°°©ú	°°vu	°°vy		°v·
226.279	Cabbage	ªra³		ÁÁ©¿	££hhoq	ÁÁ©o	ÁÁku	ÁÁko		ª³ ¤ki³
106.146	Call on	Áku	Ákho	°°khu	££kul		°°khu	°°khy		°khu
107.147	Call out			°°gu	££ggul	°°gu	°°ku	°°ku
5.130	Cat	Ámi		°°mi	££mil	°°mi	°°mi	°°nji
244.525	Catch	ñøap	¼nyap						£Án§v
52.49	Cheek	ªba	ªpa	ÁÁba	££bbaq	ÁÁba	ÁÁp¿			ªpo ¢po
91.193	Chew	g-ªwa	ªwa	ÁÁ©o	££hhyuq	ÁÁ©o	ÁÁku	ÁÁku		Áko
83.96	Child	ªïa	ªsa	ÁÁza	££ssaq	ÁÁza,ÁÁja	ÁÁja	ÁÁj¿	£Áz¿	ªÖŒ-ªlo
2.125	Chilli	ªpi		°°phi	££pil	°°phi	°°phi	°°phi		¤phi
140.280	Clean			°°sjh¿	££sol	°°sjho	°°shu	°°sjhu
198.407	Clear		Ákra~n	°°ga³	££ggaol	ÁÁg¿,°°gy
309.459	Climb up	îÖ+dak	¼tak	££daq	££ddav	££daq	££ta	££ta		Áto
3.127	Close	ªpi		ÁÁphi	££piq	ÁÁphi	ÁÁphi	ÁÁphi		Áphi
49.46	Cloth	Ápa		°°pha	££pal	°°pha	°°pho	°°pha		¤pha
281.522	Cold	ñcok		(ÁÁtsäq)	(££zeivq/ÁÁtsäq)	(ÁÁtjhä)	(ÁÁti)		ÁtûhoÖ
315.448	Cold	îgrak		££gaq	££ggav	££gaq	££tja	ÁÁtjhy	££ka	£kja
313.446	Comb/scratch		¼khrak	££kaq	££gav	££kaq	££tjha	££kha
85.104	Come	Ála	Ála	°°la	££lal		°°l¿?	°°la	°°l¿	°lo
323.507	Come out	îÖdwak	¼thwak	££doq	££dduv	££duq,°°du	°°to	°°tú	££tÒu	£toÖ
303.449	Connect	ñÖ+dzak	¼chak	ÁÁtsaq	££zavq	ÁÁtsaq	ÁÁtjho
222.276	Cooked rice	ªha³	(ªha³)	ÁÁh¿/ÁÁxh¿	££hoq	ÁÁxho	ÁÁxhu	ÁÁxhu		ªho³
104.162	Corn			££du	££ddu	££du	££tu	££tu		¢n ¢tu
117.342	Cough	ªtso		££tshÙo	££cyuq	ÁÁtshy	ÁÁtjhy	ÁÁtjhy		Áthi
74.5	Crab	£ga/£kya	£ga	££kha	££ka	°°kha	°°khja	°°kh¿		ªkhi ¢khja
284.515	Crooked	ñgok	¼kok	ÁÁxoq	££hhuvq	ÁÁu	ÁÁkoq	ÁÁkúq		ÁkoÖ
127.341	Cry	Á³o	Á³ui	°°³Ùo	££ngyul	°°³Ùo	°°ni	°°nji		°wi
291.575	Cut	îÖdÙok	¼tok	££dúq	££ddev	££dúq	££t¿	££t¿	££tú	£thoÖ/£tŒÖ
144.300	Daughter-in-law	ªkrwe	ªkhrwe	ÁÁkhy	££keeq/ÁÁkhy	ÁÁtjhi	ÁÁkhi
