ID	gloss	sani	axi	nesu	lalo	li	nasu	neisu	nosu
1.	son	za²¹	zo²¹	zo³³	za²¹	zo²¹	zo³³	zu³³	zɯ³³
2.	salt	tsha²¹	tsho²¹	tsho³³	tsha²¹	tsho²¹	tsho³³	tshu³³	tshɯ³³
3.	meat	xa²¹	xo²¹	xo³³	xa²¹	xo²¹	xo³³	xu³³	ʂɯ³³
4.	buckwheat	qa²¹	go²¹	go³³	ɣa²¹	go²¹	ngho³³	ngu³³	ngɯ³³
5.	eat	dza²¹	dzo²¹	dzo³³	dza²¹	dzo²¹	dzo³³	dzu³³	dzɯ³³
6.	strength	ɣa²¹	ɣo²¹	ɣo³³	ɣa²¹	ɣo²¹	ɣo³³	ɣu³³	ɣɯ³³
7.	chew	ga²¹	go²¹	go³³	ga²¹	go²¹	ngho³³	ngu³³	ngɯ³³
8.	dragon	lu²¹	lo²¹	lo³³	lu²¹	lu²¹	lu³³	lu³³	lu³³
9.	deaf	bu²¹	bo²¹	ba³³	bu²¹	ba²¹	bɔ³³	bo³³	bo³³
10.	under	qho²¹	ko²¹	ka³³	ku²¹	ka²¹	kɔ³³	ko³³	ko³³
11.	pine	tho²¹	tho²¹	tha³³	thu²¹	tha²¹	thɔ³³	tho³³	tho³³
12.	wash	tʂhi²¹	tshi²¹	tɕhi³³	tshi²¹	tshi²¹	tshi³³	tshi³³	tshi³³
13.	near	næ²¹	na²¹	nɛ³³	ne²¹	nɛ²¹	nɔ³³	nɛ³³	ȵi³³
14.	daughter	mæ²¹	mɛ²¹	mɛ³³	me²¹	mɛ²¹	mɔ³³	mɛ³³	mi³³
15.	use	zɤ²¹	zi²¹	zɤ³³	zy²¹	zɤ²¹	zɤ³³	zɤ³³	zɤ³³
16.	steal	khɯ²¹	khɯ²¹	khɯ³³	khu²¹	khɯ²¹	khɯ³³	tɕhy³³	khu³³
17.	bone	ɣɯ²¹	ɣɯ²¹	ɣɯ³³	ʔvu²¹	ɣɯ²¹	vɯ³³	ʑy³³	vu³³
18.	raw	dzi²¹	dzɛ²¹	dzɛ³³	dzi²¹	dzi²¹	dzɿ³³	dzɛ³³	dzɪ³³
19.	vegetable	ɣo²¹	vu²¹	ɣa²¹	ɣu²¹	va²¹	ɣɔ⁵⁵	ɣo⁵⁵	vo²¹
20.	old	mo²¹	mu²¹	ma²¹	mu²¹	ma²¹	mɔ⁵⁵	mo⁵⁵	mo²¹
21.	empty	qo²¹	gu²¹	ga²¹	gu²¹	ga²¹	gɔ⁵⁵	go⁵⁵	go²¹
22.	sell	vu²¹	vu²¹	ɣu²¹	vu²¹	vu²¹	vu⁵⁵	ɣu⁵⁵	vɯ²¹
23.	two	ni²¹	ni²¹	ȵi²¹	ni²¹	ȵi²¹	ȵi⁵⁵	ȵi⁵⁵	ȵi²¹
24.	rot	tʂhi²¹	tʂhi²¹	tshi²¹	?	tʂhi²¹	tʂhi⁵⁵	tʂhy⁵⁵	tʂhi²¹
25.	seven	ʂi²¹	ʂi²¹	ɕi²¹	xɯ²¹	ʂi²¹	ɕi⁵⁵	ɕi⁵⁵	ʂi²¹
26.	let go	ɬɤ²¹	ʈhɯ²¹	thɤ²¹	phy²¹	phɤ²¹	ʈhɤ⁵⁵	ʈhɤ⁵⁵	thi²¹
