seq	gloss	page	form	phrase	phrase_gloss	nepali	remarks	variants	notebook	so	ex	hom	dfe
1	corps	3	⁴⁴'²²sukpo						Tangbe Paris 1996-1	tangbe96.1.3			
2	corps	3		ŋai sukpo	mon corps				Tangbe Paris 1996-1	tangbe96.1.3			
3	os	3	³³'⁴¹nəχi						Tangbe Paris 1996-1	tangbe96.1.3			
4	jointures (articulations )	3	tshik						Tangbe Paris 1996-1	tangbe96.1.3			
5	jointures (articulations )	3		ŋai tshik					Tangbe Paris 1996-1	tangbe96.1.3			
6	sang	3	ka̰·ʔ						Tangbe Paris 1996-1	tangbe96.1.3			
7	rides	3	nikum						Tangbe Paris 1996-1	tangbe96.1.3			
8	poil	3	butshəm						Tangbe Paris 1996-1	tangbe96.1.3			
9	tête, cheveux	3	kʌ						Tangbe Paris 1996-1	tangbe96.1.3			
10	tête, cheveux	3	kʌtshəm						Tangbe Paris 1996-1	tangbe96.1.3			
11	tête, cheveux	3		kʌ ʃjərtse		kapal karyo			Tangbe Paris 1996-1	tangbe96.1.3			
12	tête, cheveux	3		ŋai kʌ	mes cheveux				Tangbe Paris 1996-1	tangbe96.1.3			
13	tête, cheveux	3		⁵²ŋai ³³kʌ ⁵⁵maŋ	mes cheveux sont noirs				Tangbe Paris 1996-1	tangbe96.1.3			
14	moustache et barbe	3	maŋ theʔ						Tangbe Paris 1996-1	tangbe96.1.3			
15	oeil	3	mi·ʔ						Tangbe Paris 1996-1	tangbe96.1.3			
16	oeil	3		ŋʌi miʔ	mon oeil				Tangbe Paris 1996-1	tangbe96.1.3			
17	cil	3	mik tshəm						Tangbe Paris 1996-1	tangbe96.1.3			
18	cervelle	3	lɛppa						Tangbe Paris 1996-1	tangbe96.1.3			
19	cervelle	3		ŋai lɛppa					Tangbe Paris 1996-1	tangbe96.1.3			
20	front	3	thɔppo						Tangbe Paris 1996-1	tangbe96.1.3			
21	tempe	3	ne ɲe						Tangbe Paris 1996-1	tangbe96.1.3			
22	tempe	3		ŋai nje	ma tempe				Tangbe Paris 1996-1	tangbe96.1.3			
23	joue	3	ɖəmpo			gāla			Tangbe Paris 1996-1	tangbe96.1.3			
24	joue	3		ŋai ɖəmpo	ma joue				Tangbe Paris 1996-1	tangbe96.1.3			
25	menton	3	kə̆m			ciuro			Tangbe Paris 1996-1	tangbe96.1.3			
26	menton	3		ŋai kəm	mon menton				Tangbe Paris 1996-1	tangbe96.1.3			
27	globe oculaire	3	(mi) miktsik						Tangbe Paris 1996-1	tangbe96.1.3			
28	globe oculaire	3		ŋai mi miktsik					Tangbe Paris 1996-1	tangbe96.1.3			
29	nez	5	nʌki						Tangbe Paris 1996-1	tangbe96.1.5			
30	nez			ŋai nʌki					Tangbe Paris 1996-1	tangbe96.1.			
31	narine	5	nʌki khuŋ						Tangbe Paris 1996-1	tangbe96.1.5			
32	peau	5	ʈiʱ						Tangbe Paris 1996-1	tangbe96.1.5			
33	peau	5		ŋai ʈiʱ					Tangbe Paris 1996-1	tangbe96.1.5			
34	viande	5	sja						Tangbe Paris 1996-1	tangbe96.1.5			
35	viande	5		nakʰa sja	viande de poulet				Tangbe Paris 1996-1	tangbe96.1.5			
36	oreille	5	ɲe bjaŋ						Tangbe Paris 1996-1	tangbe96.1.5			
37	oreille	5		⁵⁵ŋai ²²'²²ɲe bjaŋ					Tangbe Paris 1996-1	tangbe96.1.5			
38	bouche	5	suŋ						Tangbe Paris 1996-1	tangbe96.1.5			
39	bouche	5		ŋai suŋ					Tangbe Paris 1996-1	tangbe96.1.5			
40	dent	5	sʌ						Tangbe Paris 1996-1	tangbe96.1.5			
41	dent	5		ŋai sə					Tangbe Paris 1996-1	tangbe96.1.5			
42	langue	5	le						Tangbe Paris 1996-1	tangbe96.1.5			
43	doigt	5	dziχi dzikχi						Tangbe Paris 1996-1	tangbe96.1.5			
44	ongle	5	jɛk šiŋ						Tangbe Paris 1996-1	tangbe96.1.5			
45	jambe	5	pʱʌle			kutta			Tangbe Paris 1996-1	tangbe96.1.5			
46	jambe	5		ŋai pʱʌle					Tangbe Paris 1996-1	tangbe96.1.5			
47	genou	5	pi						Tangbe Paris 1996-1	tangbe96.1.5			
48	mollet	5	ɲatɔŋ						Tangbe Paris 1996-1	tangbe96.1.5			
49	main	5	ja̰ʔ						Tangbe Paris 1996-1	tangbe96.1.5			
