# TGTM Table of Correspondences, “20230508”, includes Tangbe													
N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	tang
c1	1	T	A	_U	¹,˥,X	¹,˥	¹,X,˥	¹,˥	¹,X,˥	¹,X,˥	¹,˥	¹,˥	˥
c2	2	T	B	_U	²,X,˥	²,˥	²,X,˥	²,˥	²,X,˥	²,X,˥	²,˥	²,˥	˥
c3	3	T	A	_W	³,X	³	³,X	³	³,X	³,X	³	³	˩
c4	4	T	B	_W	⁴,X,˩	⁴	⁴,X,˥	⁴	⁴,X,˥	⁴,X,˩	⁴,˩	⁴	˩
c5	5	R,V	i		i	i	i	i	i	i	i	i	i
c6	6	R	iː		iː	iː	iː	i	i	i	i	i	i
c7	7	R	ik		ik	iː,ik	iː	i	ɤi	ɨ	i	i	?
c8	8	R	it		it	it,iː,ip	iː,i	i	it,i	?	i,iː	iː	it
c9	9	R	ip		ip	ip	ip	i	?	?	?	i	?
c10	10	R	is		is	is	is	is	is	is	i	i	is
c11	11	R	iŋ		iŋ	iŋ	iŋ	in	in	in,im,un	ĩ	ĩ	iŋ
c12	12	R	in		in	in	in	in	in	in	ĩ	ĩ,in	in
c13	13	R	ŋin		in	njiː,njin	?	ŋi	ɲi	ni	ŋi	?	?
c14	14	R	im		im	im,em	im	im	in	im	ĩ	ĩ,in	im
c15	15	R	ir		ir	ir	ir	ir	?	ir	?	?	?
c16	16	R	il		il	?	?	i	e,il,ĩl	e	e	ɛr	?
c17	17	R	wi		wi	ui,ai	wi	i,ui	wi	wi,i	wi,i	i,ui	?
c18	18	R	jwi		jwi	i	ju	ju	ju	ju	ju	ju,u	?
c19	19	R	uiu		wi	uju	uju	uju	uju	uju	?	?	?
c20	20	R,V	e		e	e	e	e	e	e,ja	e	iɛ,ie,eɛ	e
c21	21	R	eː		eː	eː	eː	e	e,a,i,ʌ	e	i	e	e,eʔ
c22	22	R	eː	kr_	eː	?	eː	e	ʌe	ʌe	e	e	e,eʔ
c23	23	R	eː	s_	eː	eː	eː,=jeː	e	e	?	e	iː	e,eʔ
c24	24	R	je		e	e	e	e	i	i	i	ie	e
c25	25	R	ek		ep,ek	ek	?	e	?	?	?	?	ek
c26	26	R	et		et	et,ep	eː	e,i	e,eʌ,i	e	i,jo	e,eː	?
c27	27	R	ep		ep	ep	?	əp	o,e	o	aː	e	?
c28	28	R	eŋ		eŋ	eŋ	eŋ	en	jaŋ	jaŋ,en	ẽ	jaŋ	eŋ
c29	29	R	en		en	eː,en	en	ən	en	en	ẽ	ẽ	en
c30	30	R	em		em	em	?	əm	ʌm	ʌm	aẽ,ẽ	ẽ	em
c31	31	R	ew		e	e	e	e	u	e	e	e	?
c32	32	R	er		er	er	er	er	?	?	er	?	er
c33	33	R,V	a		a	a	a	ə	ʌ	ʌ	a	ɤ	a,ə,əʱ
c34	34	R	aː		aː	aː	aː	a	a	a	o	a,=aː	?
c35	35	R,V	ja		ja	ja	ja	e	e	e,jo,jɛ	e	je	?
c36	36	R	jaː		jaː	jaː	jaː	ja	ja	ja	jo	ja,=jaː	?
c37	37	R,V	wa		wa	wa	wa	o	o	o	o	o	?
c38	38	R,V	wa	tʰ_	o	?	o	o	o	o	u	a	?
c39	39	R,V	wa	s_	wa	a	a,wa	ə	ʌ	o	a	ɤ	?
c40	40	R	waː		waː	aː	?	o	?	?	o	?	?
c41	41	R	waː	s,tsʰ_	waː	waː,aː	?	o	a	?	o	?	?
c42	42	R	ai		ai	ai,eː,=jeː	ai	ʌi,=ʌj,=e	əi,e,əe	ʌi,ai,ɛ	ae,we,ai,wi	eː	?
c43	43	R	ai	r,t_	ai	ai,eː	ai	e	e	ɛ	e	eː	?
c44	44	R	ai	tʰ_	ai	eː	eː	e	eʌ,eː	?	eː	?	?
c45	45	R	jai		jai	?	?	?	?	?	e	jeː	?
c46	46	R	au		au	?	?	ap	?	?	?	?	?
c47	47	R	ak		?	ak	?	?	?	?	?	?	ak,aʔ,a
c48	48	R	at		at	et,e,ep	eː,e	e	e,je,ʌi	e,ʌi	e,ae,aː	e,je,eː	at
c49	49	R	at	k_	at	et	eː	əi,=əj	ʌe	ʌe	ae	je	?
c50	50	R	wat		wat	wet	wai	oj,e	?	?	we	?	?
c51	51	R	ap		ap	ap	ap	əp,əw,a	o	o	aː	e,je	ap
c52	52	R	jap		jap	jap	?	ep,e,jəp	?	jo	jaː	?	?
c53	53	R	aŋ		aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	õ,ũ	aŋ	aŋ
c54	54	R	aŋ	tʰ_	aŋ	aŋ	aŋ	aŋ	aŋ	aŋ	ãː	aŋ	aŋ
c55	55	R	an		an	en	an	ən	ʌn	ʌn	aẽ	jɛ̃,=jẽ,=ẽ	an
c56	56	R	an	j,tʰ_	an	en	an	en	an	ɛn	ẽ	e,ẽ	?
c57	57	R	jan		jan	en	jan	jen	?	jɛn	ẽ	e,jeː	?
c58	58	R	wan		wan	wen,jen	wan	on	on	on	wẽ	wɛ̃,=wẽ	?
c59	59	R	am		am	am	am	om,əm	ʌm	ʌm	ãẽ,ã,ãː	ən,ẽ,e	am,ɔm
c60	60	R	ar		ar	ar	ar	ər,ar	ʌr	ʌr	a,aː,aːra	ɤr	ər,ar
c61	61	R	jar		jar	jar	er,jar	jar	ʌr	?	jaː	je,jɤr	?
c62	62	R	wal		al,wal	al	wal,wai	o	ol	?	ad,ol	wol	?
c63	63	R	wai		wai	wai	wai	oj	we	?	we,wi	we	?
c64	64	R	jal		jal	jal	jal	jal,jəl	il,iː,jal	?	jaːla,e	?	?
c65	65	R,V	o		o	o	o	o	o	o,u	o	o,wo	o
c66	66	R	oː		oː	oː	oː	o	o,u	o	u	o	o
c67	67	R	oi		oi	oi,e	oe	oi,=oj	oi	we	we,=oe	wɛː,=we	?
c68	68	R	joi		joi	joi	joe	e	ʌe	e	jwi	eː	?
c69	69	R	ok		?	ok	?	?	?	?	?	?	ɔʔ
c70	70	R	ot		ot	ot,oi,op	oi,=oe,=oː	oi,=oj	?	oi	wi	e,we,i	ot
c71	71	R	ot	t,d,tʰ_	ot	ot,oi,op	oi,=oj	e	e	ʌi,e	i	e	ot
c72	72	R	jot		jot	jot,joi,jop	?	je	?	?	jwi	i	?
c73	73	R	jot	s_	jot	jot,jop	joː,joe	je	?	?	jwi	?	?
c74	74	R	wap		op	?	?	əw	ʌp	op	o	oː	?
c75	75	R	op		op	op	op	əp	o	?	o	?	op
c76	76	R	oŋ		oŋ	oŋ	oŋ	oŋ,uŋ	oŋ,oː,uŋ	uŋ	õ	oŋ,o,oː	oŋ
c77	77	R	on		on	?	on	on	ʌn	on	aẽ,wẽ	wẽ,ẽ	on
c78	78	R	on	tsʰ_	on	on,om	?	oi,=oj	ʌe	ɛ	?	e	?
c79	79	R	jon		jon	jon	jon	en	jen	jan,jon	rẽ,jwẽ	jẽ,je	?
c80	80	R	om		om	om	om	om	?	?	õ	ẽ	om
