pk initiale,pk rime,coda,khaling1,rime,meaning,ps,khaling2,meaning,wambule,meaning,limbu1,meaning,limbu2,meaning,bantawa,meaning,Tibetan,Japhug,other
kh,a,-,khɛ,ɛ,be bitter,vi,,,kha,be bitter,,,,,,,kha,,
t,a,-,ta,a,put,vt,,,,,tha,"to leave, to put away, to keep, to dispose of, away ",,,,,,ta,
s,a,-,sA,a,"pass, issue a greeting",vt,,,,,sa,"to deliver, to escort",,,,,,,
b,i,-,bi,i,give,vt,,,,,pi,give,,,pɨma (pɨ),give,ɴbʲin,mbi,畀
k,i/e,-,ki,i,"fight, argue",vi,,,,,khe,to quarrel,khett,to quarrel over,"kʰima, kʰiya",quarrel,,,
ʔ,e,-,ʔe,e,defecate,vi,,,,,es,defecate,ett,defecate on,ema (esa),defecate,,,
s,i,-,,,,,,,si,die,si,die,,,"sɨma, sɨa",die,ɕi,si,
m,u,-,mu,u,be,vi,,,,,,,,,muma,be,,,
s,e,-,si,i,fruit,n,,,"sya, si",bear a fruit,,,,,sima (sia),bear fruit,,,
,e,-,ʣe,e,say,vi,,,de,"say, quote, relate",,,,,,,,,
dz,a,-,dzA,a,eat,vt,,,"ja, ju",eat,ca,eat,caːtt,feed,cama,eat,za,ndza,
m,u,-,mu,u,do,vt,,,,,(o~)mu,do (in complex predicates),,,muma,to cause; to make,,,
n,u,-,nu,u,be good,vi,,,ɗu,"be well, good",nuːr,to be good,,,numa,to be good,,,
j,e/i,-,je,e,come down,vi,,,ywa,come down,"ju, jɛ",come down,,,"yima, yua",come down,,,
k,a,-,ka,a,eat,vt,,,"ɓa, ɓu","eat by biting, bite",,,,,,,,nɤŋka,
l,u,-,lu,u,feel,vi,,,lu,cause a mental or bodily sensation,,,,,"luma, luwa",feel,,,
th,o,-,tho,o,see,vt,,,thwa,"hear, smell",,,,,,,,,
l,a,-,lA,a,take from,vt,,,lwa,go,la,"to go to fetch, to go to meet (so. on the road)",,,,,,,
